Name,Date,Rating,Review
E. H.,tates 🇺🇸 on 23 April 2021,5,"This was absolutely adorable!!!! Oh my gosh, it was so cute, and such a sweet children's story. Honestly, if you're on the fence about buying this book because of the gay element - this story is more about being / feeling different and finding love and community and strong friendships than anything else. I bought a copy for my young nieces and nephews because it has all the values I would want to instill in my own children. The illustrations are also really beautiful!!
"
Steezy,tates 🇺🇸 on 23 March 2018,5,"This children’s book has an important message about diversity being key to our living and working together peacefully.  It’s sad a large portion of each generation has to unlearn discrimination- based on illogical ideas formed throughout our dark history.  My kids had to find out there are people in the world who choose not to accept others because of who they love and how they were born.  As teenagers now, they know it’s necessary to keep fighting for progress.  We’re not going backwards.
"
Steezy,tates 🇺🇸 on 16 October 2021,5,"If you hate Mike Pence, this is the book for you :)
"
Liam,tates 🇺🇸 on 26 August 2019,5,"One of the best kids books out there. My wife and I love the representation. Also the story behind why it was written is amazing and I highly suggest looking it up on youtube.
"
Strategic,4 June 2021,5,"This book was incredibly good. Sure it was 40 pages long and I only bought this because I love Last Week Tonight, but it excels as a kids book. The art is very charming and beautiful to look at, the characters are very fun, the humor is spot on, and the moral of the story is timeless. I would definitely say buy this for your kids, buy it because you love John Oliver, or just buy it because you know it would piss off Mike Pence. :)
"
G. Stewart,22 March 2018,1,"Okay, so as adults we're obviously buying this book for two reasons:A) To gently troll a famous and influential homophobe&B) To donate money to some very important LGBTQ+ causes.However, as a teacher who has read my fair share of children's books this is a VERY well done book! The story is straightforward and heartwarming with elements for both children and adults to enjoy. At the end of the day it gives a message that it is OKAY to he different. A+
"
Rue Kennedy,tates 🇺🇸 on 17 December 2019,5,"Bought both the audiobook and hardbound — the first for the delightful readings by a stellar cast, the second for the cute illustrations and to be able to share it. Some of the illustrations are a bit scary — they brought back memories of a 6-year-old me ducking under the theater seat in front of me when the Wicked Queen in ""Sleeping Beauty"" sprang on the screen. But all in all, a fun little book with an important message that should be shared!
"
monikerlewinsky,tates 🇺🇸 on 2 July 2020,5,"I don't know that I really need to write a review but I felt that this book deserved another five stars. This book deserves all of the stars.As I watched the episode of Jon Oliver that advertised this book, I was overcome with joy and tears. This book is for every man, woman, child, adult, teenager who has ever felt alone or unworthy of love in this world.I cannot wait to read this book to my future children.
"
Nivedita Nair,tates 🇺🇸 on 20 March 2018,5,"This is the absolute best book for all ages. Beautiful message! This should be a gift for every one you know.
"
Kindle Customer,tates 🇺🇸 on 20 March 2018,5,"I have not read the book.  I probably won't read it but I was happy to spend the money since John Oliver is donating all the proceeds to The Trevor Project and an AIDS charity.  If it does nothing except overshadow the book by the vice president's wife and daughter it was worth my money.I proudly display the book for all my friends to see and know that I support this version and not the other of the similar tale.
"
Cristin,tates 🇺🇸 on 13 July 2020,5,"I cannot say enough about how much I love this! It is so cute and I plan on reading it to all my nieces and nephews. It really is a story about acceptance of the differences that make us special while also reminding us that if people aren't representing what we believe we can make a change for what is right. A good story for anyone that wants to make a difference, also a wonderful way to explain different relationships to children.
"
Caitlin,tates 🇺🇸 on 10 August 2021,5,"For a children's book written for an adult late night show, this book is very poignant. The message it presents - different is GOOD - is a message that, unfortunately, many in the U.S. don't quite understand. We should absolutely teach our children that our differences are what make us strong, and I am going to do my part in that by putting this book in my classroom's library. Even if it only impacts a single student, it will be worth it.
"
Amazon Customer,tates 🇺🇸 on 16 August 2021,5,"This the best! Tells a wonderful story about acceptance and I bought it for my niece. I also love that proceeds are donated to charity. So glad books like this are written today to teach a whole new generation about the importance of love and acceptance. Highly recommend!!
"
Ayamuri,tates 🇺🇸 on 17 April 2018,5,"This book has a great storyline about Marlon Bundo, the Vice President's bunny. Bundo falls in love with another boy bunny and gets married. (This is, of course, in direct contradiction to the VPs actual stance on gay marriage). It is worth mentioning that 100% of the proceeds from this book go to the Trevor Project and AIDS United. Also, Pence's book on Bundo comes out the day after this one, so buying this book is a great way to give him a big middle finger!
"
Brandon Review,tates 🇺🇸 on 21 June 2018,5,"Great book. My wife and I enjoyed it, as well as our niece and nephew. The art is bright and cheery, and the story has a great message about inclusiveness and acceptance of others and their differences. It's a message we should all remember and try hard in our life to enact. Feels good that all proceeds are going to support LGBTQ suicide prevention.Oh yeah, Mike Pence is an awful, small minded, bigoted troll of a person, and anything that can help him fail in life, and not achieve his evil, disgusting goals, is worth my money, time and effort. Buy this book.
"
NAS,tates 🇺🇸 on 17 June 2018,5,"Hate that giving this a five star means fewer haters and homophobes will read this review, but I also don't want to push the overall rating too far down.Love the book, love the concept, love that the profits are going to the Trevor Project.  💜 One of my only impulse purchases on Amazon that I would make again!Thank you, Last Week Tonight and John Oliver for making this book!
"
Nick Pregent,une 2021,5,"My husband and I bought 2 books. One for us and one for our nieces.  I love how cute the story is and how the stinkbug gets what he deserves in the end.
"
Leslie Hulkower,March 2018,1,"When I heard about this book I knew I had to get a few for my friends and family. This is especially awesome now that Mrs Pence has taken a job at a place where love is love is not taught. The illustrations are fantastic and the fact proceeds go to charity make it an even better purchase. Anything that promotes more peace and love in the world deserves a spot on my shelf.
"
Lisa Marie Hyslop,tates on 1 July 2018,5,"My friend's Ruby the cat and Ranger the dog asked to write this review. Some cats hate dogs. Some dogs hate cats. Some learn to work out their differences. When this book arrived Ruby and Ranger both wanted to be the first to hear it. We compromised. My 12 year old read the book outloud to them while they behaved. After the laughter they chased each other a bit but hey that's just one way for cats and dogs to live.
"
Diane K.,tates on 19 December 2020,5,"This book illustrates the world many of us wish to live in. A world where true equality means being yourself no matter who you are. This book is a small step in the right direction, but just might make a big difference in true acceptance. I will be reading this to my kids so they never have to know a world where they feel shame. I can't wait for the day this nonsense is all history.
"
Nivedita Nair,tates on 4 June 2018,5,"This is an incredible story of a little boy bunny overcoming a stink bug who thinks it's wrong to marry a boy bunny. It also happens to be a wonderful story about how people can come together to fight against discrimination and bigotry.The voice acting for the Audible version is great. Amazing quality for a children's book.I'd recommend every child read this book. It's a story all children need to hear so they don't grow up to be stink bugs.
"
Kindle Customer,tates on 25 May 2020,5,"This book is read to my very young child constantly. The message is very clear to create and share a loving environment with everyone, and this book takes a thoughtful approach in teaching children that some people think they know what’s right, when in reality, they’re opinions are just that: Opinions. I can’t wait for my child to read this to me and understand the core message that love is genderless.
"
"Beth G, An Opinionated Shopper", February 2020,5,"The book is beautifully written and illustrated and a joy to read and look at for children and adults of all ages. The message behind the story deserves to be heard and this book is wonderful at teaching it to children in a soft and appropriate way. It is worth every cent you pay for it and the fact that the proceeds go to organizations like the Trevor Project, ultimately helping LGBT+ youth, makes it even better. Definitely a great choice for open-minded parents looking for a way to normalize LGBT+ topics for their children.
"
LouieJ,tates on 24 April 2018,5,"Marlon Bundo, is the best bunny ever. Despite the fact that John Olliver and Last Week Tonight published this book as a practical joke, I really enjoy the refreshing nature of this story. A proper story for kids to read in 2018 about love, friendship, compassion, and where the villains who always win in the real world are defeated by the power of common sense. If both of your friends love each other very much, they deserve their own happy ending.
"
TR,January 2021,5,"I'm so glad I got this book for my girls (7 & 9yrs).  We first saw it on Last Week Tonight & my husband and I knew we were going to support The Trevor Project.  We also wanted to support the LWT Team, so we bought it in hardcopy, the kindle and the audible version, because I wanted to hear Jim Parsons' narration. All versions are excellent, and I'm proud to own a copy! It teaches tolerance and celebrates love. Get it today!
"
Joan Fregapane,tates on 25 July 2019,5,"I bought this for a soon to be niece/nephew.  I had to read it before gifting.  My partner read it to me.  I recommend letting someone with a thick French accent read this story to you.  It is soooo cute and memorable.
"
~blobyn~,tates on 9 May 2018,5,"What a sweet children's story.  I actually bought this just to support the cause, but I was pleasantly surprised by the story.  It is actually a very well-written children's book and the message is perfectly tuned and age appropriate.  The characters and illustrations are fun and my two boys 6 and 3 were super engaged and my oldest asked a lot of good questions.  What a sweet story and perfect way to teach a very nice lesson.
"
~blobyn~,tates on 4 May 2018,5,"Ich kann dieses Kinderbuch nur weiterempfehlen! Ich habe es bereits mehrmals verschenkt und benutze es in meinem muslimischen Heimatland, um Kindern in der Familie und Nachbarschaft die Akzeptanz des 'Andersseins' näherzubringen. Zumal mein Bruder dort mit dem 'Anderssein' zu kämpfen hat! Mein Herz macht jedes Mal einen Sprung wenn ein Kind zu mir kommt und sagt: Tante, du gehörst zu Onkel x, Onkel x gehört zu Onkel x und Marlon gehört zu Wesley (das homosexuelle Hasenpärchen aus dem Buch)! Die Zeichnungen sind dazu noch sehr schön gemacht! Ich danke dem Last Week Tonight Team für dieses wundervolle Kinderbuch!
"
Kmac,4 June 2021,5,"I ordered this book the night that John Oliver promoted it on his show, and had to wait a month to receive it. The wait was worth it. The story is adorable, the illustrations are beautiful, and it’s such a heartwarming, wonderful message of inclusion for children, while also having some subtle humor for the adults. Highly recommend for anyone that enjoys a book with a positive message. The fact that the proceeds are supporting wonderful charities makes it even better.
"
Clara,22 March 2018,1,"Bought this for our son and couldn't be happier with it. It is a wonderful story with a strong, positive message. It's also beautifully illustrated.
"
Marcus Blankenship,tates 🇺🇸 on 29 April 2018,5,"Excellent book. Satire for adults but written in a loving manner for children ... who hopefully will grow up in a brighter world where all people care about those who are different from themselves. As adults they can learn about the satire and look back in wonder about how Colbert and so many others kept hope alive during a sorrowful time of hate and ignorance coming from the nation's political leaders.
"
Amazon Customer,tates 🇺🇸 on 24 March 2018,5,"I bought this book after watching John Oliver's episode on Mike Pence and thought 'why not, it'll piss someone off who really should just piss off'. But the more I read it, the more I realized that more books like this should probably exist. I'm glad I bought the book and if I can help someone else find the acceptance that I have, then I'll gladly do my part.Also Marlon Bundo is adorable in a bow tie, can we all agree on that?
"
stacytr,tates 🇺🇸 on 14 September 2021,5,"Great book, going to buy another copy because my son spilled milk all over it, and of course he didn’t clean it all up because he’s a lazy ass teenager, so all of the pages are stuck together like some pubescent boys playboy that’s stuffed between his mattress and box spring in the hope’s that his Mother will never find it because it will crush her image of the innocent little boy he no longer is.
"
Nivedita Nair,tates 🇺🇸 on 10 November 2020,5,"I don't have kids, but no one's too old to read a children's book. The book has such a good message behind it, and it's something everyone should be reminded of. I am definitely going to read this book to my future kids. I absolutely recommend this book to everyone of all ages. I also like that it came wrapped in a plastic bag, so that the book isn't damaged during transportation.Great illustration and a beautiful message.
"
Kindle Customer,tates 🇺🇸 on 24 March 2018,5,"This book is amazing I cried at the end it was so sweet and happy all the bunny puns made me laugh so hard it is a kids book and written very well my grand kids loved it my daughter loved it so much she ordered one for her
"
DarcSays,tates 🇺🇸 on 20 March 2018,5,"Great book, but be forewarned - it cannot be downloaded to Kindle for iOS app. They should have mentioned this in the description, but did not. I love John Oliver, and this is a great satire, but I spent over an hour troubleshooting before I called AMAZON support, and got the answer immediately. They told me there should have been a disclaimer, but when I checked back, there was none. Fortunately, I have a Kindle and a Fire so I can read the book, otherwise I would have asked for a refund.
"
Kim C,tates 🇺🇸 on 25 April 2018,5,"To me this is a collectible! That politician with his rabbit he takes everywhere just kills me. He is anti-gay, doesn't believe in helping the little guy and more. Instead of writing a children's book about his bunny he should of been taking Deversity classes. So talk show host John Oliver wrote this version about 2 gay Bunny's getting married. John Oliver has more sales then that ridiculous politician. Enjoy John Oliver's version
"
scott,tates 🇺🇸 on 7 June 2018,5,"If you like bunnies, you'll like this book.If you like John Oliver's sense of humor, you'll like this book.If you like people living their life if it doesn't affect you, you'll like this book.If you like not being a complete jerk, being a decent human being, and just a good person, you'll like this book.If you like your child being one of the above, you'll like this book and so will they.
"
nadia,tates 🇺🇸 on 14 April 2021,5,"Got my John Oliver book and funko at the same time. They will look amazing on display. The book is awesome, a definite collector's item if you love John Oliver.
"
Sony Crabapple,tates 🇺🇸 on 22 April 2018,5,"Bought this book specifically to not only screw with Pence, but to have the sale of the book to go toward The Trevor Project and AIDS United.  That said, it really is a sweet story.  A beautiful message no doubt, told in a way for kids...and even adults.
"
Amazon Customer,une 2021,5,"This is a nice way for  children to understand that love is love .  It's okay to be different  and unique.
"
Manju,March 2018,1,"Upon looking for this book I noticed it had 2000+ reviews while the VPOTUS' children's book has less than 100. Sometimes it's about the message but this sweet children's story is about the effect of the message.Numbers don't lie. The same can't always be said people who have the public's eye. If this message of tolerance and love between and amongst people who are different or the same strikes a chord in your soul, buy this book.
"
Jordan,tates on 17 May 2018,5,"I love everything about this book!  The story is actually quite good for children to begin to understand what homosexuality is.Artwork is spot on.The story behind why this book exists is also quite humorous.
"
Lindsay ,tates on 6 May 2018,5,"Marlon Bundo had a great day. And because I bought his book, so did I.My only complaint is that bunny footprints don't look like the ones in the illustration. But I'll let illustrator EG Keller have the benefit of the doubt in the artistic license department. The other illustrations are perfect. Marlon's co-author, Jill Twiss, did a superb job of keeping Marlon cranking out the story.No spoilers here, but rest assured, Marlon's day is a wonderful one.
"
Amazon Customer,tates on 5 May 2020,5,"love this book, its super cute .and the story behind its origination is great too. thanks John Oliver!
"
Nivedita Nair,tates on 19 March 2018,5,"Really... Who controls who they fall in love with?It's horrible for anyone to say they know better who should love whom.  For heaven's sake, really, there's not enough love in the world as it is!!!!Love whomever you want.  I'm fine getting humorous digs in at divisive haters.  Whether you support the politics or not, at least acknowledge their use of fear-based,  facist tactics.
"
Kindle Customer, March 2018,5,"We need more books like this. Books that normalize what is normal (being gay is not abnormal) really do help to remove fear and shame about being ""a little different"". We are all a little different, and that is okay, because we are also all the same. I read this book aloud to my kids immediately after it was delivered, and it was a joy. I laughed at a few parts and really enjoyed the cute simple story.
"
Sara,tates on 21 January 2019,5,"This is an excellent book for people of all ages. I also love where John Oliver donates the proceeds to. I don't have young children and have no plans to have any in my home for another six to eight years at least, but I knew I had to have this book on hand. There are subtle points for adults and inclusive, basic niceness for the little ones. It's a win all around.
"
Alexis,tates on 19 October 2020,5,"Cute story for kids (positive messages like differences are to be celebrated, love is love, and the importance of voting) and subtle political jokes for adults. Doesn’t hammer you over the head with it’s message. Well done to John Oliver and the LWT team!
"
J Golden,tates on 19 January 2019,5,"Both friends I have loaned it to so far have loved it - a great read-aloud book which expresses wonderful values of friendship and tolerance.  Adults will get a chuckle from the barely-hidden digs at unpopular politicians.  This book is now spreading its messages in New Zealand - may possibly end up in our local library.
"
Derek,tates on 7 May 2018,5,"Great book!!!!
"
Oogie,tates on 3 November 2018,5,"I should know, I published a successful book (in part) as a protest against the Communications Decency Act of 1996, to put something in the Library of Congress dedicated to Senator Exon (the bill's sponsor). Such a protest is only effective if the book stands on it's own as wonderful literature you'd enjoy reading and sharing otherwise. Few books have as much appeal to children and adults while delivering such a beautiful message.
"
Road Warrior,4 June 2021,5,"With such hateful representation in oh White House currently, this book is amazing. It is so well written, and respectfully written. It is literally perfect. Children should know that love is love, whether it’s two men, two women, or a man and a woman. 100000% buy this book.
"
Samantha B.,22 March 2018,1,"Best children's books ever!!! My kids made me read it to them two or three times a night for weeks after we got it. We have the audio book too and they listen all the time!!
"
teriyama,tates 🇺🇸 on 20 March 2018,5,"Such a great story! The illustrations are adorable. A couple nods to adults made the book entertaining for us parents as well. A portion of the proceeds go to an awesome cause as well. Get this book!
"
Heather K,tates 🇺🇸 on 27 April 2019,5,"This goes without saying, but as it’s been said a million times already, this book is amazing. I would be lying if I said it didn’t bring tears to my husband’s eyes as we finished reading it to our 4 and 2.5 year old. My 4 year old, as we finished, proudly shouted “I HATE STINK BUGS! EW!”Ew is right, my dear. Don’t ever change.“Stink Bugs are temporary, Love is forever”.
"
Bob Reilly,n 1 April 2019,5,"I primarily purchased this book because I really like John Oliver's show and think the charity benefiting from the proceeds is worthwhile. Then I got the book and read it. The story is fun with a bit of sharp satire thrown in. The illustrations are beautiful and were far better than what I was expecting from what could be considered a spoof book. This is a very high quality peice of work and a great story!
"
Nivedita Nair,tates 🇺🇸 on 8 May 2018,5,"I bought this for my daughter, who LOVED it!
"
Kindle Customer,tates 🇺🇸 on 21 March 2018,5,"The story is nice, but the illustrations are perfect for the characters and full of winning charm to make this story lovable, despite the controversial subject matter (for conservatives).A quick read and great way to discuss LGBT issues with youngsters.
"
Lane Sawyer, 16 March 2020,5,"This book is great, sweet, and funny.  This is just a great story made even better when you know why it exists.  The message of love and acceptance is so sweet. The illustrations are beautiful. This is a great book for anyone who has ever felt different (and who hasn't). Kids and parents will love this book and the wonderful message that let's them know that it is okay to be different because that is what makes us unique.
"
K.Suto,tates 🇺🇸 on 24 April 2018,5,"It is pretty funny and a sweet story. This must have been very rushed or they intentionally didn’t care much about the grammar. Since this was a gift for a child, I would have preferred more care to punctuation which I know seems silly considering the book but the child is learning. Otherwise, it is a good story that also encourages voting. The reviews on back were also the best reviews I’ve ever read.
"
Nadine Weber,n 19 February 2019,5,"As the mother of a gay son who remembers the discrimination he suffered in his youth, I am happy this charming book is available now. If, through my purchase, I am also contributing support for gay rights while competing with the sales of that other book, I am even happier. Love is something to celebrate, not demonize.
"
lucie teixeira,tates 🇺🇸 on 24 April 2018,5,"Love Love Love this cute story!!  It is about time!  We all need to have this on our book shelves!  Give this to everyone you know. This is what I wanted my children to read when they were little! I want my grandchildren growing up reading this. Teach Love. Teach Acceptence. Spread Love. Because everyone IS different...and Because that is what friends do! After all, We are all walking this planet together.
"
Brandy Griffin,tates 🇺🇸 on 25 January 2021,5,"This was utterly gorgeous. I am so very grateful for John Oliver to have brought this book to my attention. May God bless the cause. This is an amazing way to get word across and tell off Pence for his ways and even create something wonderful for the children to enjoy as well. The audio is very much worth the extra price. I am extremely satisfied with my purchase and am so enthusiastic to see how many others are as well! ❤🙏
"
Emily Friesen,4 June 2021,5,"I loved this book. The puns, both subtle and blatant, had me laughing all the way through the book. While intended to be pure, hilarious, biting, anti-Pence satire (the stink bug even looked a bit like Pence), it was still a very nice children's short story that taught love and acceptance of others who are different from ourselves. This should be required reading for all children and their parents along with Leslea Newman's ""Heather Has Two Mommies"".
"
Afl2018,22 March 2018,1,"So I got this book because I am huge john oliver fan. Little did I know the gem that I had just gotten for my child.She is 5 and she loves this book! It isn’t horrible and boring like most childrens books. It has beautiful pictures and the message isn’t just gay is okay but being different is okay. Great message for kids and very cute story. Can’t wait to buy more for gifts!
"
Angela,tates 🇺🇸 on 18 April 2019,5,"having watched much of last week tonight with John Oliver, I bought this book believing it to just be political comedy hidden in a children's book. Although the book certainly uses a little political comedy, that is clearly overshadowed by the positive message of differences in people.The use of bright colours and positive message makes this one of the must-have children's books In our modern age
"
Megan M,tates 🇺🇸 on 19 March 2018,5,"Great book and great message! Love is love no matter who you are. I just received it yesterday and read it immediately to my 8 yr old son, who after a few times asking for clarification who was the girl bunny and who was the boy bunny, I said no they’re both boys... “Ohhhhh, now I get it” and then he was cool with it. Kids are so tolerant if you let them be. “Love is forever!!”
"
Kathy L,tates 🇺🇸 on 25 September 2018,5,"I loved this book & hopefully it'll be passed down from my grandkids, to their kids, & so on. I feel that every child feel different at one time or another in their life. This book tells them that not only is it ok to be different, but also that everyone is. It is a great book for all ages. There isn't anything in this book that I find offensive & recommend it for teachers.
"
Nivedita Nair,tates 🇺🇸 on 9 August 2018,5,"I LOVE John Oliver. This book is well written. I thought the story would s*ck because it was only made to mock vice president Pence. I was wrong! The story is cute, witty & is perfectly appropriate for children. I highly recommend this book. Thank you, John Oliver!
"
Kindle Customer,tates 🇺🇸 on 22 March 2020,5,"Pretty accurate description of what is going on at the current moment with the stinky bug in charge of the US. I HIGHLY recommend it to all your republican friends that just don't quite get what is truly going on in the white house.
"
Alan T Houck,tates 🇺🇸 on 22 March 2018,5,"I got this for my best friend's granddaughter for her birthday.  She is a little young to understand the issues in the story, but her grandmother and I got a kick out of it.  I hope when she is a little older she will sympathize with Marlon Bundo and his true love!
"
Lance Cormier,tates 🇺🇸 on 26 November 2018,5,"A brilliantly conceived and written tale all children and adults should read, learn from and enjoy.  Compassion, tolerance and acceptance are the true cornerstones of the melting pot called America, and without nurturing those traits we can never transcend to the next level of cultural evolution as a species.The graphics are well done, and the story told in a way that even adults find sweet and endearing.  A must read for all!
"
Paul Walter,tates 🇺🇸 on 22 July 2018,5,"It's a very sweet little story about two bunnies in love.
"
Cathy,tates 🇺🇸 on 8 November 2020,5,"My mom and I watch John Oliver while we eat dinner every night. She thought that bit was so funny so for her birthday I got her this book. She loved it so much!
"
Lisa 48640,tates 🇺🇸 on 28 February 2020,5,"It is extremely well written, with the cutest Illustrations! I love it and I am sure, that every child will love it too. The story is heartwarming. To be honest, I didn't expect it to be that cute, because it was promoted by John Olivers Last Week Tonight, which is a Late Night Show for adults. I had to wait for a few months, because it wasn't in stock. But it was definetely worth the wait! Although it's a little bit sad that I can't read it to the children as l am living in a non-english-speaking country.
"
Frank Garabo,4 June 2021,5,"As a 40-something person who shares a house with two rabbits and believes that people should be allowed to live their own lives, I was looking forward to this book. I figured it would be funny--but I did not expect it to be so touching. I had tears in my eyes as I finished the book. This is a children's book, but it's great for adults as well. I can't recommend this book strongly enough!
"
Frank Garabo,22 March 2018,1,"I'm an early childhood educator, and I read a lot of children's books. I bought this to support the good cause, and to piss off Mike Pence in whatever small way I can. I was pleasantly surprised that it was actually very well written, age appropriate, and totally adorable. It's a tad long for my 21 month old, but she attended for most of it, and I'm sure she will love it as she grows.
"
JMF,tates 🇺🇸 on 5 January 2021,5,"I’m such a huge fan of Last Week Tonight, and I couldn’t resist buying this. It is so adorable! And it’s a great, cute way to introduce same-sex couples to your children!
"
Serg,tates 🇺🇸 on 20 March 2018,5,"It’s almost absurd how much joy this book brings me!  There isn’t any overt Trump bashing, outside of a very hateful bug that is voted out in the story. Outside of that it’s just a cute bunny story, with a great message! you can genuinely read this it children, without any political issues. Only the adults are going to pick up on the underlying story taking place.
"
Barbie, 15 June 2020,5,"Such a wonderfully sweet book. Fantastic message about love, friendship, and acceptance. Also a very good message about the ability to not just stand up to the bullies, but to strip their power of we all come together. I absolutely cannot wait to share this with my daughter (6). We all have different things about us and this book has the positive message of celebrating those differences in the face of (sometimes cruel) adversity.
"
Shadow,tates 🇺🇸 on 21 March 2018,5,"collector
"
Nivedita Nair,tates 🇺🇸 on 7 April 2021,5,"Love love love! We adore this book so much that we immediately ordered several copies for friends!
"
Kindle Customer,tates 🇺🇸 on 19 October 2018,5,"Very cute story about love! Well written with good illustrations.  Appropriate for children and adults alike.  I enjoyed where they showed that everyone is different and that being different is not bad. I believe that children innately feel this way and this book reinforces how to live in peace and harmony with others.  Maybe if more adults stopped worrying about controlling what everyone else does or believes, we could get along much better.
"
Beautiee,tates 🇺🇸 on 7 May 2018,5,"Adorable book. Great story, age appropriate way to start conversations about tolerance and love. My kids loved it.
"
Karen Saunders,tates 🇺🇸 on 12 September 2018,5,"We have two male friends that are married so the idea that two men can't be married never made sense to our four year old. But this just reinforces the idea that love is just that. This book, these reviews give me hope in such a hostile world.This book is great for my kids maybe too simple for kids much older but just adorable. And I love the illustrations!!
"
GL, 21 February 2020,5,"I bought this book for my daughter. She is 13 and came out last year. I told her that I wish I could have given her an equal world to live in, but that there are many people working daily toward that goal. She is reading the book today at her LGBTQ club at school. Thank you John Oliver for fighting this fight and standing up against intolerance. We love Bundo!!!
"
C. Sue Diehl,tates 🇺🇸 on 1 November 2019,5,"Intended to dock this a star for delayed delivery, as I ordered it the day it was released and received it after Easter. It would have been nice to be able to include it in an Easter basket. However, I can't give it less than five stars. The story about supporting each others individuality is so sweet and uplifting, the illustrations are vibrant and expressive. I'm just glad my kids have it!
"
Pablo Nobre,une 2021,5,"Intolerance and unacceptance are 'taught'. These are not inherently present in children. This book has such a wonderful message for adults and children alike. I will definitely be reading this book to my kids. It doesnt take much to accept someone, and this book delivers the meaning in the most delightful way possible. Congratulations to John Oliver and Last Week Tonight on this monumental middle finger to people like Mike Pence.
"
-A.,March 2018,1,"Adorable book with a fantastic message at heart.  It opens up the conversation about the different types of love and different types of families out there while being age appropriate, as well as the importance of getting out to vote.  My daughter loves having me read it to her before bed because it's sweet as well as super funny.  John Oliver and his staff truly outdid themselves this time. :)
"
Amazon Customer,tates on 20 October 2021,5,"Powerful and playful lesson in the power of LOVE and the strength of DIVERSITY and INCLUSION. It also reminds us that we can CHOOSE our leaders with the power of our VOTE. Don't let the stink bugs tell you who you can and cannot love; who you can and cannot be. All children (and adults) need to be empowered with this message. This book needs to be read by everyone!
"
Amazon Customer,tates on 4 September 2018,5,"I bought this book for my twin granddaughters - The best recommendation I can give is to tell you that my granddaughters absolutely loved this book!
"
K. Kirk,tates on 26 February 2020,5,"I have read this book almost every night since it arrived at my house.  I ordered the day the show aired saying it was available.  It is now July.  My child absolutely loves this book.  We will now have a Marlon Bundo themed birthday party at my father's house who happens to a republican.  Seriously, this is well written and has a great message.
"
Charlie,tates on 21 July 2020,5,"Such a cute story and message of tolerance and democracy! My 4 year old niece loved this when I gave it to her for Christmas her favorite part is yelling ""YOU'RE NOT IN CHARGE!!"" This book is great for all ages and all open minds.
"
SueJ,tates on 14 July 2020,5,"I bought this book knowing exactly what it was, and I read it to my children. We were all giggling and awwing throughout the story, and we celebrated at the wonderful happy ending. Now we want a hedgehog named Dill Prickles and a mouse named hiccup! It is NOT bad to be different, and things can change, in time ;)
"
Nivedita Nair,tates on 6 May 2018,5,"This book is such a perfect, kid-friendly way to address the ongoing fight for LGBTQ+ rights, as well as gay marriage and the struggle it took for it to become legal. My 5 year old and 1 year old both shouted “Hooray!!!” for the happy ending and we read it several times on the first sitting. I teared up at how beautifully this was done. Well done!
"
Kindle Customer,tates on 8 May 2018,5,"This book is even better than I expected. So cute and so wholesome.
"
Alicia,tates on 7 August 2021,5,"I love this book and its message! It is also my son's favorite, and he requests it daily. Since he is ""different"" with a disability, I am so happy I get to read him a book that teaches him that different is not bad, and that love is love no matter who it is with.
"
Dale L. Larson,tates on 20 April 2020,5,"Way to go! A sweet children's story to explain same sex coupling and marriage with adorable animals as the characters! Thank you to all who produced this children's book!
"
Ellie H.,tates on 20 March 2018,5,"We look forward to reading this book to our soon-to-be-born child, to help normalise love for all. It has a great message, cute illustration, and is honestly a wonderful book to teach a lovely message to children, even without the political backstory. We do love John Oliver and hate bigotry, which were the main reasons we purchased it initially, but it's a worthwhile book no matter what. With the proceeds going to charity, and the potential for a better, more loving next generation, how could you not buy this book?
"
Nate,une 2021,5,"Great book for children as well as an adults.Very well made with beautiful illustrationsI love this book! I wish there would be continued stories
"
A West,March 2018,1,"A Day in the Life of Marlon Bundo is a wonderful book that adults can actually enjoy reading aloud to children. It may be true Marlon Bundo is a nontraditional rabbit, but it is also true today's children are nontraditional in their life experiences.  Children learn that being different in one way does not marginalize them.  It should be in the children's section of every library.
"
Sierra,tates on 23 June 2018,5,"If you don’t know the background behind this book, please watch Last Week Tonight with John Oliver episode about Mike Pence. This book is very well made. Great art, solid story and professionally manufactured. If you don’t like Mike Pence this is a small way to flip him the bird and support a good cause in the process. And you get a great kids book! Win win.
"
Sierra,tates on 19 March 2018,5,"Very cute book in which we learn important things like, stink bugs are only temporary, we can join together to make sure they're not in charge anymore. And most importantly, love is forever.
"
Rob Overman,tates on 20 May 2018,5,"An hilarious bunny tale for all ages! With a morale to the story that everyone should have learned in kindergarten. The artwork is lovely—truly beautiful. Our friend’s daughter thoroughly enjoyed the story and asked for it to be read to her over and over. The book itself is well-made, with heavy paper and durable binding that should hold up well in the hands of youngsters.
"
EAH,tates on 19 March 2018,5,"Love this book!!  An important wonderful sentiment to instill into young minds and hearts.  And I love that the money goes to The Trevor Project and Aids United.  I included the book with other items for a baby shower gift.  I encourage everyone to consider this sweet book when shopping for future gifts.
"
no-nonsense,tates on 19 March 2018,5,"Brilliant, a book of acceptance and celebration of being yourself no matter what that might be. I read this to my very first nephew, the very first grandchild in my entire family. I teared up a little because I'm also very not straight, and my brother and his wife are very appreciative of it's kind and beautiful message, hopeful for the future. Amazing and fun illustrations!
"
